0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:23 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:23 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:23 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:23 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:23 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:23 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:24 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:24 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:24 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:24 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:27 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:55:28 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:56:02 -0700] "GET /BootStrapExample/LoginPage.jsp HTTP/1.1" 200 2593
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:56:08 -0700] "GET /BootStrapExample/LoginPage.jsp HTTP/1.1" 200 2593
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:57:30 -0700] "GET /BootStrapExample/RegisterPage.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:57:36 -0700] "GET /BootStrapExample/LoginPage.jsp HTTP/1.1" 200 2882
0:0:0:0:0:0:0:1 - - [27/Oct/2017:16:57:36 -0700] "GET /BootStrapExample/LoginPage.jsp HTTP/1.1" 200 2882
